"","cpid","livelihood.strategies","livelihood.category","incomeid","variable","value"
"6342","MALKANGIRI","pulses (black gram,boroboti,dongor rani, green gram, horse gram, jhudungo, pigeon pea)","AGRICULTURE",107,"17",1
"6345","MALKANGIRI","onion","AGRICULTURE",110,"17",1
"6347","MALKANGIRI","seasame","AGRICULTURE",112,"17",1
"6349","MALKANGIRI","Sweet corn","AGRICULTURE",114,"17",1
"6352","MALKANGIRI","mahua fruit","TREE BASED LIVELIHOOD",203,"17",1
"6353","MALKANGIRI","mango","TREE BASED LIVELIHOOD",204,"17",1
"6354","MALKANGIRI","Tamarind","TREE BASED LIVELIHOOD",205,"17",1
"6355","MALKANGIRI","Mahua Flower","TREE BASED LIVELIHOOD",206,"17",1
"6356","MALKANGIRI","Goat for meat","SHEEP/GOAT REARING",301,"17",1
"6357","MALKANGIRI","Sheep for meat","SHEEP/GOAT REARING",302,"17",1
"6359","MALKANGIRI","Bullocks for agriculture","OTHER LIVESTOCKS",502,"17",1
"6360","MALKANGIRI","Cow for agriculture","OTHER LIVESTOCKS",503,"17",1
"6361","MALKANGIRI","Duck for meat","OTHER LIVESTOCKS",504,"17",1
"6363","MALKANGIRI","hen for meat","OTHER LIVESTOCKS",506,"17",1
"6364","MALKANGIRI","Swan for meat","OTHER LIVESTOCKS",507,"17",1
"6365","MALKANGIRI","sale of wild fish(chigudi,kalipati,kapdu,moya)","FISHING/AQUACULTURE",601,"17",1
"6366","MALKANGIRI","sale of cultivated fish(american carp,grass carp,silver carp,telapia)","FISHING/AQUACULTURE",602,"17",1
"6370","MALKANGIRI","mahua(local drink)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",704,"17",1
"6372","MALKANGIRI","Solopo(local drink)","TRADE/BUSINESS/SERVICES",801,"17",1
"6379","MALKANGIRI","consumer goods(Grocery shop)","TRADE/BUSINESS/SERVICES",808,"17",1
"6382","MALKANGIRI","Rice mill","TRADE/BUSINESS/SERVICES",811,"17",1
"6385","MALKANGIRI","wild cashew","NTFP COLLECTION",901,"17",1
"6393","MALKANGIRI","Tendu leaf","NTFP COLLECTION",909,"17",1
"6395","MALKANGIRI","mahua fruit from forest","NTFP COLLECTION",911,"17",1
"6397","MALKANGIRI","govt salaried job(Anganwadi helper,anganbadi karmi,army personnel, asha didi,clerk in malkangiri  college, peon in panchayat office, police, post master, peon in tahesildaar office,teacher,watchman)","SALARIED JOB",1002,"17",1
"6399","MALKANGIRI","social security pension(disabled pension, old age pension, widow pension)","PENSION / REMITTANCES",1101,"17",1
"6400","MALKANGIRI","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"17",1
"6401","MALKANGIRI","local skilled labor(carpenter, blacksmith,pottery,mistri,driver, painter,)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"17",1
"6402","MALKANGIRI","local unskilled labor(construction labor,nrega labor,plumber)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"17",1
"6405","MALKANGIRI","migratory unkilled labor(construction labor, labor in factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"17",1
"6407","PALAMU","Paddy","AGRICULTURE",102,"17",1
"6408","PALAMU","Wheat","AGRICULTURE",103,"17",1
"6409","PALAMU","Barley ","AGRICULTURE",104,"17",1
"6412","PALAMU","Pulses(Gram,Masuri,Tur,Kurthi,Khesari)","AGRICULTURE",107,"17",1
"6414","PALAMU","Linseed","AGRICULTURE",109,"17",1
"6416","PALAMU","mustard","AGRICULTURE",111,"17",1
"6418","PALAMU","sesame","AGRICULTURE",113,"17",1
"6419","PALAMU","Tisi","AGRICULTURE",114,"17",1
"6422","PALAMU","Mahua fruit (private sources)","TREE BASED LIVELIHOOD",203,"17",1
"6424","PALAMU","Goat ","SHEEP/GOAT REARING",301,"17",1
"6426","PALAMU","Cow ","OTHER LIVESTOCKS",501,"17",1
"6428","PALAMU","Buffalo ","OTHER LIVESTOCKS",503,"17",1
"6431","PALAMU","Hen ","OTHER LIVESTOCKS",506,"17",1
"6440","PALAMU","Bullocks rented for agriculture","TRADE/BUSINESS/SERVICES",802,"17",1
"6445","PALAMU","Consumer goods(grocery store )","TRADE/BUSINESS/SERVICES",807,"17",1
"6460","PALAMU","Tendu leaves","NTFP COLLECTION",906,"17",1
"6463","PALAMU","Govt  Salaried job(Block Development officer,Jharkhand police,Para teacher,College professor,govt teacher,Railway dept(Group D),Army Police, Border secruty force, Bihar Police force.Anganwari sewika)","SALARIED JOB",1001,"17",1
"6464","PALAMU","Private salaried Job(Driver ,Civil  engineer)","SALARIED JOB",1002,"17",1
"6466","PALAMU","Social secruty Pension(disabled pension,old age Pension,Widow Pension )","PENSION / REMITTANCES",1101,"17",1
"6468","PALAMU","local skilled labor (barhi,mistri, rajmistri,sculpture)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"17",1
"6469","PALAMU","local unskilled labor (stone works, soil related labor,NREGA )","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"17",1
"6472","PALAMU","migratory unskilled labor(building construction, bridge construction, works in cressor) ","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"17",1
"6473","BANKURA","Potato","AGRICULTURE",107,"17",1
"6474","BANKURA","Khasla (oil seed)","AGRICULTURE",108,"17",1
"6475","BANKURA","Tisi (oil seed)","AGRICULTURE",109,"17",1
"6483","BANKURA","Goat ","SHEEP/GOAT REARING",302,"17",1
"6485","BANKURA","Bullock ","OTHER LIVESTOCKS",501,"17",1
"6487","BANKURA","Duck (Egg and meat)","OTHER LIVESTOCKS",503,"17",1
"6488","BANKURA","Hen (Egg and meat)","OTHER LIVESTOCKS",504,"17",1
"6493","BANKURA","Mat (made from leaves of date tree)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"17",1
"6501","BANKURA","sale of kerosene (from PDS)","TRADE/BUSINESS/SERVICES",805,"17",1
"6503","BANKURA","Consumer goods (grocery shop,Medicine shop,Dashakarma shop[idols,dieties],Garment shop,shoes shop,Stationary shop,variety shop,Hardware shop,cement & rod shop,fertilizer shop,Tin,Asbestor,  )","TRADE/BUSINESS/SERVICES",807,"17",1
"6509","BANKURA","Mechanical business (cycle & motor cycle repair shops)","TRADE/BUSINESS/SERVICES",813,"17",1
"6510","BANKURA","Mobile shop (repairing, recharge )","TRADE/BUSINESS/SERVICES",814,"17",1
"6519","BANKURA","Govt. salaried Job (indian oil corporation,income tax dept, high school teacher, primary teacher,doctor,Railway clerk, central reserve police force,PWD night guard,Supply Inspector,panchayat secretary,ITBM,WBP,BSF,Army,Vetenary compounder,High school teacher,Post office Peon,Health dept,BLRO Peon,Block office,clerk,Kolkata Police,Central Industrial Security Force,School clerk,Railway police force,Supervisor in ICDS,Aganwari teacher,Nursery teacher,BDO,ADO,Post master,Bank Peon,Kangsabati Corporation's employee, Damodar valley corporation)","SALARIED JOB",1001,"17",1
"6520","BANKURA","Private Salaried Job (Driver,Law clerk,Tata motors,Cook in Military Canteen, Civic police,Engineer,Private Company,Fertilizer factory,Vest Factory,Data entry operator,Iron factory,Advocate,Nurse)","SALARIED JOB",1002,"17",1
"6523","BANKURA","local agriculture labour (Harvesting & Sowing)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"17",1
"6525","BANKURA","local unskilled labor(NREGA,Roof maker,Helper)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"17",1
"6526","BANKURA","migratory agriculture labor(sowing and harvesting of paddy)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"17",1
"6527","BANKURA","migratory skilled labor(rajmistri, Circus,woodcutter,Electrical work, Spring Factory,Cressor,Ceramics artist)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1302,"17",1
"6528","BANKURA","migratory unskilled labor(labor for soil works,road/bridge/building construction,stone chipping, labor in hotel, worker in wholesale shop,labor in mill,helper with truck/bus,power plant,R.N factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"17",1
"6531","KACHCHH"," Sesame ","AGRICULTURE",103,"18",1
"6532","KACHCHH","Pulses (Mug, Math)","AGRICULTURE",104,"18",1
"6533","KACHCHH"," Sovin","AGRICULTURE",105,"18",1
"6534","KACHCHH"," Mustard","AGRICULTURE",106,"18",1
"6535","KACHCHH"," Castor","AGRICULTURE",107,"18",1
"6536","KACHCHH"," Groundnut","AGRICULTURE",108,"18",1
"6537","KACHCHH"," Bajra(Millet)","AGRICULTURE",109,"18",1
"6546","KACHCHH","Sheep","SHEEP/GOAT REARING",301,"18",1
"6547","KACHCHH","Goat","SHEEP/GOAT REARING",302,"18",1
"6548","KACHCHH","milk from cow","DAIRY CATTLE",401,"18",1
"6549","KACHCHH","milk from buffalo","DAIRY CATTLE",402,"18",1
"6552","KACHCHH","charcoal production","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"18",1
"6559","KACHCHH","consumer goods (Ration Shop)","TRADE/BUSINESS/SERVICES",807,"18",1
"6564","KACHCHH","Private salaried job (salt factory,cement factory,shop, NGO, Pvt commpany, driver ","SALARIED JOB",1001,"18",1
"6565","KACHCHH","Govt salaried job ( police,pwd,teacher,postman,aganvadiworker,aganvadi helper,elec tric board,state transport,b s f,Railway Police,Coast guard,Indian Army)","SALARIED JOB",1002,"18",1
"6566","KACHCHH","Govt/Pvt retirement pension ","SALARIED JOB",1003,"18",1
"6567","KACHCHH","social security pension (Window pension)","PENSION / REMITTANCES",1101,"18",1
"6568","KACHCHH","local Agriculture Labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"18",1
"6569","KACHCHH","local skilled labor(Mason, carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"18",1
"6570","KACHCHH","local unskilled labor  (factory, indian air force,company)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"18",1
"6573","KACHCHH","migratory unskilled labor (factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"18",1
"6574","DEVAS"," paddy ","AGRICULTURE",101,"18",1
"6575","DEVAS","Wheat","AGRICULTURE",102,"18",1
"6576","DEVAS","pluses( Chawla,Urad,Moong)","AGRICULTURE",103,"18",1
"6577","DEVAS","Tilli","AGRICULTURE",104,"18",1
"6578","DEVAS","groundnut","AGRICULTURE",105,"18",1
"6579","DEVAS","chillies","AGRICULTURE",106,"18",1
"6580","DEVAS","jowar","AGRICULTURE",107,"18",1
"6581","DEVAS","maize","AGRICULTURE",108,"18",1
"6582","DEVAS","cotton","AGRICULTURE",109,"18",1
"6583","DEVAS","Soyabean","AGRICULTURE",110,"18",1
"6584","DEVAS","onion","AGRICULTURE",111,"18",1
"6586","DEVAS","vegetable sale(garlic,gobi,batla,bitter gourd,balr,coriander,gawarfali,tumadi,chavlafali,fenugreek,raddish,carrot,spinach,tomato,surjnafali,giki,okra)","AGRICULTURE",113,"18",1
"6587","DEVAS"," goat ","SHEEP/GOAT REARING",301,"18",1
"6588","DEVAS","goat (for meat)","SHEEP/GOAT REARING",302,"18",1
"6589","DEVAS","Dairy milk (from cow and buffalo) ","DAIRY CATTLE",401,"18",1
"6590","DEVAS","hen ","OTHER LIVESTOCKS",501,"18",1
"6591","DEVAS","bullocks","OTHER LIVESTOCKS",502,"18",1
"6596","DEVAS","Mahua (liquor)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",703,"18",1
"6600","DEVAS","Gobar khad (sale of cowdung )","HOME PRODUCTION(SMALL-SCALE PROCESSING)",707,"18",1
"6601","DEVAS","Consumer goods (grocery store,flour mill)","TRADE/BUSINESS/SERVICES",801,"18",1
"6603","DEVAS","Kamkaji Lakadi (sale of small timber)","TRADE/BUSINESS/SERVICES",803,"18",1
"6611","DEVAS","Mahua fruit","NTFP COLLECTION",904,"18",1
"6612","DEVAS","Government Salaried job(Choukidar,Aanganwadi Teacher,Forest Guard,M.P. police,School Teacher,Army,Patwari ","SALARIED JOB",1001,"18",1
"6613","DEVAS","Private salaried job(doctor, truck driver)","SALARIED JOB",1002,"18",1
"6615","DEVAS","Social Security Pension(widow pension,old age pension)","PENSION / REMITTANCES",1101,"18",1
"6616","DEVAS","local agricultural labor (Hal chalana, bakhakhar chalana, kud-kachra saaf karna, buwai karna, nindai karna, dore chalana, dawai chhidkaw,pani chalana,faslo ki katai,kapas ki bunai, udhara(group agri labor))","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"18",1
"6617","DEVAS","Bandhua mazdoor(bonded labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"18",1
"6618","DEVAS","local unskilled labor(saja-munafa,podha ropan, med bandi,Tendu-Patta)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"18",1
"6619","DEVAS","local skilled labor(  carpenter,mistri, woodcutter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1204,"18",1
"6622","DEVAS","migratory unskilled labor (labor in company)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"18",1
"6623","KHANDWA"," Jowar","AGRICULTURE",101,"18",1
"6624","KHANDWA","Maize","AGRICULTURE",102,"18",1
"6625","KHANDWA"," Paddy ","AGRICULTURE",103,"18",1
"6626","KHANDWA"," Wheat ","AGRICULTURE",104,"18",1
"6627","KHANDWA"," Pulses ( Chana,Chawala, Masoor, Mung,Tuwar, Urad)","AGRICULTURE",105,"18",1
"6629","KHANDWA"," Cotton","AGRICULTURE",107,"18",1
"6630","KHANDWA"," Mugfali","AGRICULTURE",108,"18",1
"6631","KHANDWA"," Soyabean ","AGRICULTURE",109,"18",1
"6632","KHANDWA","Sugarcane","AGRICULTURE",110,"18",1
"6635","KHANDWA"," Mahuwa flower","TREE BASED LIVELIHOOD",202,"18",1
"6636","KHANDWA"," goat","SHEEP/GOAT REARING",301,"18",1
"6639","KHANDWA"," hen","OTHER LIVESTOCKS",502,"18",1
"6642","KHANDWA","mahua liquor","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"18",1
"6644","KHANDWA","Consumer goods (cloth shop,flourmill,grocery store(kirana shop),fertilizer shop  ,multi hardware shop,medical shop,pesticide shop,xerox shop,electronic shop, petrol pump)","TRADE/BUSINESS/SERVICES",801,"18",1
"6648","KHANDWA","stitching ","TRADE/BUSINESS/SERVICES",805,"18",1
"6660","KHANDWA","Government Salaried job(ASHA worker,Rojgar Sahayak,Post men, Police (Constable ),Teacher ( primary School,middle school,secondary school),Panchayat Sachiv,Army personnel,Forest Guard,Aganwadi Worker,peon in collectorate, siksha karmi,Govt . Peon,govt water supplyer,Peon  in Govt . Agriculture  dept)","SALARIED JOB",1001,"18",1
"6661","KHANDWA","Private salaried job (Bus Conductor ,Development officer in NGO,Paraworker,private school teacher,driver )","SALARIED JOB",1002,"18",1
"6663","KHANDWA","social securty pension (Handicap, widow, Old age ) ","PENSION / REMITTANCES",1101,"18",1
"6664","KHANDWA","local agriculture labor (sugarcane,soyabean and wheat harvesting)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"18",1
"6666","KHANDWA","local unskilled labor (NREGA labor,labor for collecting tendu leaves)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"18",1
"6667","KHANDWA","migration for agriculture labor( wheat,soyabean and sugarcane harvesting)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"18",1
"6670","MAHBUBNAGAR","rice ","AGRICULTURE",101,"18",1
"6671","MAHBUBNAGAR","sorghum","AGRICULTURE",102,"18",1
"6672","MAHBUBNAGAR","cotton","AGRICULTURE",103,"18",1
"6673","MAHBUBNAGAR","pulses(blackgram,greengram,redgram,bengalgram,horsegram)","AGRICULTURE",104,"18",1
"6674","MAHBUBNAGAR","ground nut","AGRICULTURE",105,"18",1
"6676","MAHBUBNAGAR","sun flower","AGRICULTURE",107,"18",1
"6679","MAHBUBNAGAR","sajja(type of sorghum)","AGRICULTURE",110,"18",1
"6680","MAHBUBNAGAR","raagulu(type of sesame)","AGRICULTURE",111,"18",1
"6681","MAHBUBNAGAR","vegetable(tomato,brinjal,onion,okra,chilli,bittergourd,sorakaya(type of brinjal),keera,beera(type of bitter gourd),potato,fenugreek,spinach and coriander)","AGRICULTURE",112,"18",1
"6682","MAHBUBNAGAR","guava","TREE BASED LIVELIHOOD",201,"18",1
"6683","MAHBUBNAGAR","sapota (type of apple)","TREE BASED LIVELIHOOD",202,"18",1
"6685","MAHBUBNAGAR","custerd apple","TREE BASED LIVELIHOOD",204,"18",1
"6687","MAHBUBNAGAR","mango orchard  (owner)","TREE BASED LIVELIHOOD",206,"18",1
"6688","MAHBUBNAGAR","lemon","TREE BASED LIVELIHOOD",207,"18",1
"6690","MAHBUBNAGAR","goat for meat","SHEEP/GOAT REARING",301,"18",1
"6691","MAHBUBNAGAR","sheep for meat","SHEEP/GOAT REARING",302,"18",1
"6692","MAHBUBNAGAR","cow for milk","DAIRY CATTLE",401,"18",1
"6693","MAHBUBNAGAR","bullocks","DAIRY CATTLE",402,"18",1
"6694","MAHBUBNAGAR","hen for meat","OTHER LIVESTOCKS",501,"18",1
"6695","MAHBUBNAGAR","bullocks for agriculture","OTHER LIVESTOCKS",502,"18",1
"6697","MAHBUBNAGAR","sale of cultivated fish(kora matta(slivercrap),kamshali,jellalu(rohi),botchallu(catla),royallu,rohathlu(grass craph)","FISHING/AQUACULTURE",602,"18",1
"6699","MAHBUBNAGAR","making of pots","HOME PRODUCTION(SMALL-SCALE PROCESSING)",702,"18",1
"6700","MAHBUBNAGAR","consumer goods(stationary shop,cloth shop,selling fertilizer,grocery shop)","TRADE/BUSINESS/SERVICES",801,"18",1
"6701","MAHBUBNAGAR","perhisable goods(mutton shop,chicken shop,tea shop,jewellary)","TRADE/BUSINESS/SERVICES",802,"18",1
"6702","MAHBUBNAGAR","mechannical business(cycle repair shop,motor cycle repair shop)  ","TRADE/BUSINESS/SERVICES",803,"18",1
"6703","MAHBUBNAGAR","tailor shop","TRADE/BUSINESS/SERVICES",804,"18",1
"6704","MAHBUBNAGAR","private transport business(auto,tractor,lorry(owner))","TRADE/BUSINESS/SERVICES",805,"18",1
"6707","MAHBUBNAGAR","fire wood","NTFP COLLECTION",901,"18",1
"6708","MAHBUBNAGAR","govt.salaried job(teacher,police(s.i),conistable,village revenue officer,vatenary doctor,home guard,bank manager,sarpanch)","SALARIED JOB",1001,"18",1
"6709","MAHBUBNAGAR","private salaried job(watchman,teacher,mechanic worker,sales man)","SALARIED JOB",1002,"18",1
"6713","MAHBUBNAGAR","social secretary pension(old age pension,widow pension,disabled penson)","PENSION / REMITTANCES",1101,"18",1
"6714","MAHBUBNAGAR","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"18",1
"6715","MAHBUBNAGAR","local skilled labor(centering worker,mistri,carpenter,welder)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"18",1
"6716","MAHBUBNAGAR","local unskilled labor(construction labor)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"18",1
"6718","MAHBUBNAGAR","migratory skilled labor(mistri, dry cleanerwork in mumbai city)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1302,"18",1
"6721","MALKANGIRI","Paddy","AGRICULTURE",102,"18",1
"6722","MALKANGIRI","Ragi(millet)","AGRICULTURE",103,"18",1
"6723","MALKANGIRI","sua(fox tail millet)","AGRICULTURE",104,"18",1
"6725","MALKANGIRI","Vegetable(Ash gourd, banglore baigano,beans,bitter gourd,bottle gourd,brinjal,butter beans,cabbage,cauliflower,chillies,dhonia,drumsticks,evy gourd,garlic,ginger,kidney beans,lady's finger,pumpkin,raddish,ridge gourd,snake gourd,kohlrabi,spinach,sweet root,tomato , tumeric)","AGRICULTURE",106,"18",1
"6726","MALKANGIRI","pulses (black gram,boroboti,dongor rani, green gram, horse gram, jhudungo, pigeon pea)","AGRICULTURE",107,"18",1
"6728","MALKANGIRI","Ground nut","AGRICULTURE",109,"18",1
"6731","MALKANGIRI","seasame","AGRICULTURE",112,"18",1
"6733","MALKANGIRI","Sweet corn","AGRICULTURE",114,"18",1
"6736","MALKANGIRI","mahua fruit","TREE BASED LIVELIHOOD",203,"18",1
"6737","MALKANGIRI","mango","TREE BASED LIVELIHOOD",204,"18",1
"6738","MALKANGIRI","Tamarind","TREE BASED LIVELIHOOD",205,"18",1
"6739","MALKANGIRI","Mahua Flower","TREE BASED LIVELIHOOD",206,"18",1
"6740","MALKANGIRI","Goat for meat","SHEEP/GOAT REARING",301,"18",1
"6741","MALKANGIRI","Sheep for meat","SHEEP/GOAT REARING",302,"18",1
"6742","MALKANGIRI","Buffalo for agriculture","OTHER LIVESTOCKS",501,"18",1
"6743","MALKANGIRI","Bullocks for agriculture","OTHER LIVESTOCKS",502,"18",1
"6745","MALKANGIRI","Duck for meat","OTHER LIVESTOCKS",504,"18",1
"6746","MALKANGIRI","pig for meat","OTHER LIVESTOCKS",505,"18",1
"6747","MALKANGIRI","hen for meat","OTHER LIVESTOCKS",506,"18",1
"6748","MALKANGIRI","Swan for meat","OTHER LIVESTOCKS",507,"18",1
"6749","MALKANGIRI","sale of wild fish(chigudi,kalipati,kapdu,moya)","FISHING/AQUACULTURE",601,"18",1
"6750","MALKANGIRI","sale of cultivated fish(american carp,grass carp,silver carp,telapia)","FISHING/AQUACULTURE",602,"18",1
"6754","MALKANGIRI","mahua(local drink)","HOME PRODUCTION(SMALL-SCALE PROCESSING)",704,"18",1
"6757","MALKANGIRI","construction contractor(private/govt)","TRADE/BUSINESS/SERVICES",802,"18",1
"6773","MALKANGIRI","boda(type of wild mushroom)","NTFP COLLECTION",905,"18",1
"6777","MALKANGIRI","Tendu leaf","NTFP COLLECTION",909,"18",1
"6778","MALKANGIRI","mushroom","NTFP COLLECTION",910,"18",1
"6779","MALKANGIRI","mahua fruit from forest","NTFP COLLECTION",911,"18",1
"6781","MALKANGIRI","govt salaried job(Anganwadi helper,anganbadi karmi,army personnel, asha didi,clerk in malkangiri  college, peon in panchayat office, police, post master, peon in tahesildaar office,teacher,watchman)","SALARIED JOB",1002,"18",1
"6783","MALKANGIRI","social security pension(disabled pension, old age pension, widow pension)","PENSION / REMITTANCES",1101,"18",1
"6784","MALKANGIRI","local agriculture labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"18",1
"6866","BANKURA","Sheep ","SHEEP/GOAT REARING",301,"18",1
"6867","BANKURA","Goat ","SHEEP/GOAT REARING",302,"18",1
"6869","BANKURA","Bullock ","OTHER LIVESTOCKS",501,"18",1
"6872","BANKURA","Hen (Egg and meat)","OTHER LIVESTOCKS",504,"18",1
"6885","BANKURA","sale of kerosene (from PDS)","TRADE/BUSINESS/SERVICES",805,"18",1
"6887","BANKURA","Consumer goods (grocery shop,Medicine shop,Dashakarma shop[idols,dieties],Garment shop,shoes shop,Stationary shop,variety shop,Hardware shop,cement & rod shop,fertilizer shop,Tin,Asbestor,  )","TRADE/BUSINESS/SERVICES",807,"18",1
"6902","BANKURA","Bamboo collected from forest","NTFP COLLECTION",901,"18",1
"6903","BANKURA","Govt. salaried Job (indian oil corporation,income tax dept, high school teacher, primary teacher,doctor,Railway clerk, central reserve police force,PWD night guard,Supply Inspector,panchayat secretary,ITBM,WBP,BSF,Army,Vetenary compounder,High school teacher,Post office Peon,Health dept,BLRO Peon,Block office,clerk,Kolkata Police,Central Industrial Security Force,School clerk,Railway police force,Supervisor in ICDS,Aganwari teacher,Nursery teacher,BDO,ADO,Post master,Bank Peon,Kangsabati Corporation's employee, Damodar valley corporation)","SALARIED JOB",1001,"18",1
"6904","BANKURA","Private Salaried Job (Driver,Law clerk,Tata motors,Cook in Military Canteen, Civic police,Engineer,Private Company,Fertilizer factory,Vest Factory,Data entry operator,Iron factory,Advocate,Nurse)","SALARIED JOB",1002,"18",1
"6907","BANKURA","local agriculture labour (Harvesting & Sowing)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"18",1
"6909","BANKURA","local unskilled labor(NREGA,Roof maker,Helper)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"18",1
"6910","BANKURA","migratory agriculture labor(sowing and harvesting of paddy)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1301,"18",1
"6911","BANKURA","migratory skilled labor(rajmistri, Circus,woodcutter,Electrical work, Spring Factory,Cressor,Ceramics artist)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1302,"18",1
"6912","BANKURA","migratory unskilled labor(labor for soil works,road/bridge/building construction,stone chipping, labor in hotel, worker in wholesale shop,labor in mill,helper with truck/bus,power plant,R.N factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"18",1
"6913","KACHCHH","Wheat","AGRICULTURE",101,"19",1
"6914","KACHCHH","Cotton","AGRICULTURE",102,"19",1
"6915","KACHCHH"," Sesame ","AGRICULTURE",103,"19",1
"6916","KACHCHH","Pulses (Mug, Math)","AGRICULTURE",104,"19",1
"6917","KACHCHH"," Sovin","AGRICULTURE",105,"19",1
"6918","KACHCHH"," Mustard","AGRICULTURE",106,"19",1
"6919","KACHCHH"," Castor","AGRICULTURE",107,"19",1
"6920","KACHCHH"," Groundnut","AGRICULTURE",108,"19",1
"6924","KACHCHH"," vegetable (okra,brinjal,chilli,bottle gourd,cucumber,tomato,cabbage)","AGRICULTURE",112,"19",1
"6930","KACHCHH","Sheep","SHEEP/GOAT REARING",301,"19",1
"6931","KACHCHH","Goat","SHEEP/GOAT REARING",302,"19",1
"6932","KACHCHH","milk from cow","DAIRY CATTLE",401,"19",1
"6933","KACHCHH","milk from buffalo","DAIRY CATTLE",402,"19",1
"6936","KACHCHH","charcoal production","HOME PRODUCTION(SMALL-SCALE PROCESSING)",701,"19",1
"6942","KACHCHH","Advocate  (private)","TRADE/BUSINESS/SERVICES",806,"19",1
"6943","KACHCHH","consumer goods (Ration Shop)","TRADE/BUSINESS/SERVICES",807,"19",1
"6948","KACHCHH","Private salaried job (salt factory,cement factory,shop, NGO, Pvt commpany, driver ","SALARIED JOB",1001,"19",1
"6949","KACHCHH","Govt salaried job ( police,pwd,teacher,postman,aganvadiworker,aganvadi helper,elec tric board,state transport,b s f,Railway Police,Coast guard,Indian Army)","SALARIED JOB",1002,"19",1
"6950","KACHCHH","Govt/Pvt retirement pension ","SALARIED JOB",1003,"19",1
"6951","KACHCHH","social security pension (Window pension)","PENSION / REMITTANCES",1101,"19",1
"6952","KACHCHH","local Agriculture Labor","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1201,"19",1
"6953","KACHCHH","local skilled labor(Mason, carpenter)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1202,"19",1
"6954","KACHCHH","local unskilled labor  (factory, indian air force,company)","LOCAL LABOR (AGRI,SKILLED,UNSKILLED)",1203,"19",1
"6957","KACHCHH","migratory unskilled labor (factory)","MIGRATORY LABOR(AGRI,SKILLED,UNSKILLED)",1303,"19",1
"6958","DEVAS"," paddy ","AGRICULTURE",101,"19",1
"6959","DEVAS","Wheat","AGRICULTURE",102,"19",1
"6960","DEVAS","pluses( Chawla,Urad,Moong)","AGRICULTURE",103,"19",1
"6961","DEVAS","Tilli","AGRICULTURE",104,"19",1
"6962","DEVAS","groundnut","AGRICULTURE",105,"19",1
"6963","DEVAS","chillies","AGRICULTURE",106,"19",1
"6964","DEVAS","jowar","AGRICULTURE",107,"19",1
"6965","DEVAS","maize","AGRICULTURE",108,"19",1
"6966","DEVAS","cotton","AGRICULTURE",109,"19",1
"6967","DEVAS","Soyabean","AGRICULTURE",110,"19",1
